iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0945890990659,0.0947572695744,0.094932337176,0.778802083333,0.77875,0.778833333333,0,0,0,1.498841381
10,0.101903340338,0.102049515474,0.102174160501,0.778802083333,0.77875,0.778833333333,0,0,0,14.566991913
20,0.0969083801271,0.0971661031481,0.0965515401563,0.778802083333,0.77875,0.778833333333,0,0,0,28.259620118
30,0.0864863155893,0.0866285576337,0.0861590228434,0.778802083333,0.77875,0.778833333333,0,0,0,40.48421473
40,0.0904209233025,0.090705225104,0.0900660339033,0.778802083333,0.77875,0.778833333333,0,0,0,52.80562132
50,0.0945215304264,0.0939514315755,0.0933052846577,0.762552083333,0.76875,0.762833333333,0.12208742538,0.138198757764,0.122146822949,65.503339776
60,0.0871081105586,0.0867872390768,0.0863170559529,0.778802083333,0.77875,0.778833333333,0,0,0,77.966481113
70,0.0866872001062,0.0867984634696,0.0862341325379,0.778802083333,0.77875,0.778833333333,0,0,0,90.282282221
80,0.0842065490641,0.0839993883249,0.0830722778956,0.778802083333,0.77875,0.778833333333,0,0,0,102.442718675
90,0.0857887451882,0.0855986816854,0.0848713096249,0.778802083333,0.77875,0.778833333333,0,0,0,115.281105499
100,0.0872346511301,0.0869522140818,0.0863257303724,0.778802083333,0.77875,0.778833333333,0,0,0,127.417421633
110,0.0845579917645,0.084464484637,0.0837505294777,0.778802083333,0.77875,0.778833333333,0,0,0,139.960583908
120,0.0838182021974,0.0837834088487,0.0830260617419,0.778802083333,0.77875,0.778833333333,0,0,0,151.581979768
130,0.0862901242106,0.0859952572698,0.085174862906,0.778802083333,0.77875,0.778833333333,0,0,0,163.562209615
140,0.0860229943483,0.0857303490478,0.0851883281219,0.778802083333,0.77875,0.778833333333,0,0,0,175.882325455
150,0.0849706868727,0.084820253369,0.0839286163402,0.778802083333,0.77875,0.778833333333,0,0,0,188.519734591
160,0.0851052736441,0.0849092781855,0.084029713179,0.778802083333,0.77875,0.778833333333,0,0,0,201.054395703
170,0.0845231697929,0.0842964331932,0.0838652037421,0.778802083333,0.77875,0.778833333333,0,0,0,213.519849139
180,0.0855319101239,0.0855020969587,0.0847146354158,0.778802083333,0.77875,0.778833333333,0,0,0,226.806986712
190,0.0846306082766,0.084604502624,0.0837958937573,0.778802083333,0.77875,0.778833333333,0,0,0,239.550423968
200,0.0849002672389,0.0847457918999,0.0839159992608,0.778802083333,0.77875,0.778833333333,0,0,0,253.671481534
210,0.0849519036528,0.0846542052293,0.084122692407,0.778802083333,0.77875,0.778833333333,0,0,0,267.012271274
220,0.0847554433118,0.0844156469727,0.08394314931,0.778802083333,0.77875,0.778833333333,0,0,0,279.331224038
230,0.0844435918827,0.0843688504621,0.0837808721124,0.778802083333,0.77875,0.778833333333,0,0,0,292.076331638
240,0.0844545441075,0.0846263420849,0.0838399229048,0.778802083333,0.77875,0.778833333333,0,0,0,305.029546064
250,0.0845209452535,0.0847416555622,0.083850210404,0.778802083333,0.77875,0.778833333333,0,0,0,316.716672727
260,0.0850722230352,0.0850854873072,0.0842681417079,0.778802083333,0.77875,0.778833333333,0,0,0,329.081048138
270,0.0848484471323,0.0848365486098,0.0840372768319,0.778802083333,0.77875,0.778833333333,0,0,0,341.851883339
280,0.0871784792322,0.0873682229435,0.0865119357688,0.778802083333,0.77875,0.778833333333,0,0,0,353.869205819
290,0.0865285556458,0.0864203839081,0.0856600513887,0.77875,0.77875,0.778833333333,0,0,0,367.22247386
300,0.0845911485688,0.0846357449239,0.0839811933378,0.778802083333,0.77875,0.778833333333,0,0,0,379.458908339
310,0.0850770194867,0.0848982494392,0.0843508772042,0.778802083333,0.77875,0.778833333333,0,0,0,392.353480055
320,0.08716311947,0.0873153827854,0.0865105535416,0.778802083333,0.77875,0.778833333333,0,0,0,405.097599091
330,0.0851538263872,0.0850585054423,0.0841943609592,0.778802083333,0.77875,0.778833333333,0,0,0,417.570984626
340,0.0865064474791,0.0865827880688,0.0856982769395,0.778802083333,0.77875,0.778833333333,0,0,0,430.155599173
350,0.0870014874768,0.0871986904331,0.0859485215239,0.778802083333,0.77875,0.778833333333,0,0,0,442.855275474
360,0.0854373328301,0.0853077242175,0.0845308661605,0.778802083333,0.77875,0.778833333333,0,0,0,455.582696479
370,0.0852692974541,0.0852336495317,0.0844493138236,0.778802083333,0.77875,0.778833333333,0,0,0,467.7677798
380,0.0855604801008,0.0854484154382,0.0846704353277,0.778802083333,0.77875,0.778833333333,0,0,0,480.525457272
390,0.0864508030041,0.086633399161,0.085520591609,0.778802083333,0.77875,0.778833333333,0,0,0,493.125676338
400,0.0864642889425,0.0866067449958,0.0853499162492,0.778802083333,0.77875,0.778833333333,0,0,0,505.530515841
410,0.0876484435493,0.0876242266452,0.0865623362351,0.778802083333,0.77875,0.778833333333,0,0,0,518.628317133
420,0.0858237178902,0.0859579201119,0.0847451830496,0.778802083333,0.77875,0.778833333333,0,0,0,531.720245804
430,0.0867678362512,0.0866944463089,0.085622600799,0.778802083333,0.77875,0.778833333333,0,0,0,544.185574521
440,0.0862264363354,0.0860830996239,0.0852644398998,0.778802083333,0.77875,0.778833333333,0,0,0,556.28766442
450,0.0868102710703,0.0867890528891,0.0859992124215,0.778802083333,0.77875,0.778833333333,0,0,0,568.715111971
460,0.0855288827739,0.0855042227694,0.084528634388,0.778802083333,0.77875,0.778833333333,0,0,0,581.975925763
470,0.0849077982153,0.0848644239612,0.0841394002682,0.778802083333,0.77875,0.778833333333,0,0,0,594.611587484
480,0.0857761851917,0.0855235286519,0.0847810186352,0.778802083333,0.77875,0.778833333333,0,0,0,607.657270047
490,0.0870151458433,0.0867130122147,0.0859916189937,0.778802083333,0.77875,0.778833333333,0,0,0,620.014680439
500,0.086065425732,0.0857498341415,0.0850026284215,0.778802083333,0.77875,0.778833333333,0,0,0,632.560173755
510,0.086989162712,0.0870131345106,0.0860454530628,0.778802083333,0.77875,0.778833333333,0,0,0,644.098282734
520,0.0868567265514,0.0867422235141,0.0859454723063,0.778802083333,0.77875,0.778833333333,0,0,0,656.091664731
530,0.0853899030645,0.0852323002235,0.0846267180279,0.778802083333,0.77875,0.778833333333,0,0,0,667.726111636
540,0.0858477721696,0.0859296389969,0.0850306020624,0.778802083333,0.77875,0.778833333333,0,0,0,679.126952804
550,0.0863918669951,0.0861523699873,0.0855872057676,0.778802083333,0.77875,0.778833333333,0,0,0,690.620863378
560,0.0861022093581,0.0861185759683,0.0852900143504,0.778802083333,0.77875,0.778833333333,0,0,0,703.019981115
570,0.0863081514073,0.0862634235629,0.0853932377691,0.778802083333,0.77875,0.778833333333,0,0,0,714.624382525
580,0.0860264422384,0.0861287018102,0.0852324682413,0.778802083333,0.77875,0.778833333333,0,0,0,726.300368186
590,0.0860862910765,0.0861321017664,0.0852963728747,0.778802083333,0.77875,0.778833333333,0,0,0,738.37005556
600,0.0863407611288,0.0863637747377,0.0855300778615,0.778802083333,0.77875,0.778833333333,0,0,0,750.620457196
610,0.0860919544912,0.0860621928279,0.085302264686,0.778802083333,0.77875,0.778833333333,0,0,0,761.994172413
620,0.0863290740656,0.086300169623,0.0853903818777,0.778802083333,0.77875,0.778833333333,0,0,0,773.458060102
630,0.0868477137203,0.0871600911586,0.0857583354379,0.778802083333,0.77875,0.778833333333,0,0,0,784.625637372
640,0.0862401231457,0.0861288663259,0.0853377068983,0.778802083333,0.77875,0.778833333333,0,0,0,796.542669008
650,0.0860900117622,0.0861536627482,0.0852126826049,0.778802083333,0.77875,0.778833333333,0,0,0,807.474014302
660,0.0857524141586,0.0857005935953,0.0847233970475,0.778802083333,0.77875,0.778833333333,0,0,0,818.871192505
670,0.085978543234,0.0860062691345,0.0852449289248,0.778802083333,0.77875,0.778833333333,0,0,0,830.706092838
680,0.0848383726183,0.0848547064733,0.0839307054178,0.778802083333,0.77875,0.778833333333,0,0,0,842.60135735
690,0.08407397974,0.0842429472584,0.0832030750985,0.778802083333,0.77875,0.778833333333,0,0,0,854.142335094
700,0.0846083909018,0.0845936281521,0.0837401582799,0.778802083333,0.77875,0.778833333333,0,0,0,865.050103116
710,0.0846197506608,0.0845837848462,0.083690017137,0.778802083333,0.77875,0.778833333333,0,0,0,877.494720695
720,0.0845868567491,0.0846753750844,0.0836565880179,0.778802083333,0.77875,0.778833333333,0,0,0,889.672754722
730,0.0850343374372,0.08507449077,0.0839138279813,0.778802083333,0.77875,0.778833333333,0,0,0,900.99068003
740,0.0855177482501,0.0856468614122,0.0848063094973,0.778802083333,0.77875,0.778833333333,0,0,0,913.387693578
750,0.0843040178692,0.084404450275,0.0833764555636,0.778802083333,0.77875,0.778833333333,0,0,0,926.068637311
760,0.0849042483442,0.0847557670275,0.0839937673974,0.778802083333,0.77875,0.778833333333,0,0,0,937.744329969
770,0.0849530120955,0.0847809945058,0.084090047237,0.778802083333,0.77875,0.778833333333,0,0,0,949.065844226
780,0.0846591242073,0.0846248761419,0.0837224566165,0.778802083333,0.77875,0.778833333333,0,0,0,960.487175711
790,0.0844956492763,0.084475943557,0.0835740621075,0.778802083333,0.77875,0.778833333333,0,0,0,971.806810859
800,0.0846101948756,0.0846689011282,0.0837512950465,0.778802083333,0.77875,0.778833333333,0,0,0,983.312102556
810,0.0846900101424,0.0845268874115,0.0838493393846,0.778802083333,0.77875,0.778833333333,0,0,0,995.169659634
820,0.0848887417637,0.0847313454847,0.0840401235134,0.778802083333,0.77875,0.778833333333,0,0,0,1007.12268536
830,0.0850149129991,0.0849369454559,0.0842258443024,0.778802083333,0.77875,0.778833333333,0,0,0,1018.76378271
840,0.0846404929613,0.0847110783076,0.0837148659948,0.778802083333,0.77875,0.778833333333,0,0,0,1030.00032919
850,0.085167673796,0.0849092259332,0.0842619948959,0.778802083333,0.77875,0.778833333333,0,0,0,1041.66360153
860,0.0846942914144,0.0846556405036,0.0840844354367,0.778802083333,0.77875,0.778833333333,0,0,0,1053.08069154
870,0.0843892335852,0.0845899960873,0.0835932935275,0.778802083333,0.77875,0.778833333333,0,0,0,1064.62064342
880,0.084418952289,0.084347261766,0.0836604145536,0.778802083333,0.77875,0.778833333333,0,0,0,1075.84152593
890,0.0844720825179,0.0845595084947,0.0837184733542,0.778802083333,0.77875,0.778833333333,0,0,0,1087.64671987
900,0.0840688519133,0.0839729870092,0.0833731987164,0.778802083333,0.77875,0.778833333333,0,0,0,1098.34676249
910,0.0842070792504,0.0841518157887,0.0834119764712,0.778802083333,0.77875,0.778833333333,0,0,0,1107.52788374
920,0.084409286742,0.084350707056,0.0836470751981,0.778802083333,0.77875,0.778833333333,0,0,0,1116.73957317
930,0.0837311587918,0.0836208768549,0.0828568505904,0.778802083333,0.77875,0.778833333333,0,0,0,1125.92787927
940,0.0842243996212,0.0842166286499,0.0833103876749,0.778802083333,0.77875,0.778833333333,0,0,0,1135.23639143
950,0.084777573458,0.0847428096265,0.0837823419854,0.778802083333,0.77875,0.778833333333,0,0,0,1144.12310743
960,0.0844008506946,0.0844722281338,0.0837539392169,0.778802083333,0.77875,0.778833333333,0,0,0,1153.28773634
970,0.0843466545739,0.0844800508438,0.0833455225151,0.778802083333,0.77875,0.778833333333,0,0,0,1162.13432777
980,0.0845974422491,0.0846368625649,0.0837294117229,0.778802083333,0.77875,0.778833333333,0,0,0,1171.2250835
990,0.0851266006364,0.0854692522262,0.0843719309633,0.778802083333,0.77875,0.778833333333,0,0,0,1180.1409344
1000,0.0835951293526,0.0833779236666,0.0829021298915,0.77875,0.77875,0.778833333333,0.000940733772342,0,0,1189.59125707
1010,0.0840986542453,0.0839459972152,0.0833816700518,0.778802083333,0.77875,0.779166666667,0.00188014101058,0,0.00300978179082,1198.52679224
1020,0.0837547424025,0.0834315783894,0.0829727985999,0.778645833333,0.778541666667,0.778833333333,0.000470366886171,0,0,1207.47425572
1030,0.084424996575,0.0843080538373,0.0836953055047,0.778802083333,0.77875,0.778833333333,0,0,0,1216.85045607
1040,0.083969819451,0.0840545834205,0.0831597438327,0.778854166667,0.778541666667,0.778833333333,0.000470809792844,0,0,1226.81129773
1050,0.0842000766873,0.0841934914653,0.083336708644,0.77875,0.77875,0.779,0.000470588235294,0,0.00150602409639,1236.33079524
1060,0.0835876979732,0.0833301721692,0.0828865913995,0.77890625,0.778541666667,0.779166666667,0.00375498709223,0,0.00300978179082,1245.20627747
1070,0.0849155265105,0.0846762835611,0.0841578399145,0.778802083333,0.77875,0.778833333333,0.00141076886903,0.00187969924812,0,1254.14946846
1080,0.0839223961623,0.0837873595971,0.083365966957,0.778802083333,0.778541666667,0.779166666667,0.00141076886903,0,0.00300978179082,1263.39526457
1090,0.0841014256479,0.083770462612,0.0831775273207,0.778802083333,0.778541666667,0.778833333333,0.00141076886903,0,0,1272.42531151
1100,0.084364574388,0.084228954212,0.0834443268448,0.778802083333,0.77875,0.778833333333,0,0,0,1281.5422691
1110,0.0840243435368,0.0836367203302,0.0830350892719,0.7796875,0.778958333333,0.780166666667,0.014904517932,0.0111835973905,0.0149365197909,1290.46341936
1120,0.0850501021136,0.0851016332159,0.0840376285768,0.778802083333,0.778333333333,0.778833333333,0.000940955069395,0,0,1299.30876551
1130,0.0841440798798,0.083969036657,0.0832782219139,0.778802083333,0.77875,0.778833333333,0,0,0,1308.58038169
1140,0.0842775082318,0.0840322776498,0.0834332070976,0.778802083333,0.77875,0.778833333333,0,0,0,1318.56341713
1150,0.0842136088958,0.0840814270269,0.0833756346263,0.778802083333,0.77875,0.778833333333,0,0,0,1329.19865123
1160,0.0842454581109,0.0841835602266,0.083363124238,0.778802083333,0.77875,0.778833333333,0,0,0,1338.9410391
1170,0.0838829670774,0.0835624089204,0.0832643530787,0.779114583333,0.779166666667,0.779666666667,0.00562719812427,0.00562851782364,0.00750750750751,1348.32600261
1180,0.0843687833892,0.0844064038872,0.0837240467204,0.778854166667,0.77875,0.778833333333,0.000470809792844,0,0,1357.44205944
1190,0.0834469930519,0.0831451610327,0.0828424954689,0.778958333333,0.778541666667,0.779166666667,0.0037558685446,0.0018779342723,0.00300978179082,1366.40551889
1200,0.0838764284628,0.0836597600989,0.0834956981953,0.78015625,0.780208333333,0.780333333333,0.0240462427746,0.0294388224471,0.0208023774146,1375.4735334
1210,0.0841516004537,0.08374255427,0.0836272116022,0.778697916667,0.77875,0.778833333333,0.000470477534698,0,0,1384.54309591
1220,0.084251863159,0.0840678228157,0.0835329869992,0.77875,0.77875,0.778833333333,0,0,0,1393.68645355
