iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.114607081657,0.11613728711,0.115067909782,0.697916666667,0.694583333333,0.692666666667,0.253731343284,0.248975409836,0.246116107931,0.194046212
10,0.0734042115633,0.074723241759,0.0730500203966,0.805625,0.805833333333,0.809666666667,0.367671975601,0.374496644295,0.383369330454,1.728418822
20,0.0695402554069,0.0715627596245,0.0702446536967,0.81796875,0.812291666667,0.815833333333,0.428454619787,0.404494382022,0.424778761062,3.294373689
30,0.0683376478021,0.0704623212251,0.0692283111578,0.8209375,0.814375,0.820833333333,0.468952734013,0.442078897934,0.467558197127,4.803169783
40,0.0678067614697,0.0700630413039,0.0690387716783,0.821041666667,0.81625,0.820666666667,0.470570107858,0.449438202247,0.465739821251,6.24368304
50,0.0675125100178,0.0698666688949,0.0689964620404,0.8228125,0.817083333333,0.820666666667,0.475323874152,0.454658385093,0.463609172483,7.590411517
60,0.0673016198377,0.069729458542,0.0689441804503,0.822604166667,0.815833333333,0.819666666667,0.479204892966,0.456334563346,0.468565815324,9.108600218
70,0.0671443720276,0.0696756482988,0.0688883396625,0.822604166667,0.816666666667,0.820333333333,0.480317363442,0.462102689487,0.47208619001,10.859773371
80,0.0670366497237,0.069656713359,0.068877449087,0.822447916667,0.817291666667,0.820666666667,0.481836145311,0.463608562691,0.473065621939,12.340213469
90,0.0669560770523,0.0696495336514,0.0689948809743,0.822604166667,0.816666666667,0.820666666667,0.476322263223,0.457459926017,0.467326732673,13.731272945
100,0.0668743419333,0.0696473929565,0.0689361287114,0.8228125,0.816875,0.820833333333,0.479975542648,0.461726883037,0.47018235584,15.006155272
110,0.0668257246322,0.0696075051641,0.0689364559694,0.822552083333,0.815416666667,0.820666666667,0.479131631249,0.456441717791,0.46942800789,16.425831156
120,0.0667823990208,0.069581067412,0.0689484939394,0.82265625,0.815208333333,0.82,0.480232025645,0.454824830977,0.468503937008,17.740597658
130,0.0667257005709,0.0696350273351,0.0689617428794,0.822760416667,0.814583333333,0.82,0.482275977484,0.452644526445,0.47110675808,19.104125985
140,0.0666799090627,0.0696416717724,0.0690106708613,0.82296875,0.815208333333,0.819166666667,0.481147916349,0.454824830977,0.469437652812,20.454106418
150,0.0666440276907,0.0696558712875,0.069011719096,0.823177083333,0.815208333333,0.819,0.483335869731,0.456161863887,0.469208211144,21.808981334
160,0.0666157956025,0.0696857222345,0.0690402993911,0.822916666667,0.815208333333,0.819,0.483753416338,0.45749235474,0.469208211144,23.201597834
170,0.0665940816336,0.0697063375407,0.0690450204816,0.82265625,0.814583333333,0.818833333333,0.484637505676,0.455990220049,0.470014627011,24.491752994
180,0.0665736738519,0.0697374859162,0.0690618445137,0.8228125,0.814375,0.818833333333,0.484545454545,0.455711667685,0.469497315764,25.811666347
190,0.066553523107,0.0697558655829,0.0690443780497,0.822916666667,0.815416666667,0.818333333333,0.485316379049,0.459096459096,0.468292682927,27.182654547
200,0.0665352572193,0.0697824939642,0.0690687543383,0.823177083333,0.815625,0.818333333333,0.486617269016,0.460036607688,0.468292682927,28.537150579
210,0.066515114596,0.0698008064686,0.069059571704,0.823177083333,0.815208333333,0.818833333333,0.487237577405,0.4601339014,0.470530930346,29.868094454
220,0.066493270174,0.0698257467569,0.0690592667187,0.823229166667,0.814583333333,0.8185,0.488084464555,0.459295261239,0.470072992701,31.341057458
230,0.0664697838041,0.069841956848,0.0690744742553,0.823489583333,0.815,0.8185,0.487834366027,0.459196102314,0.469556746225,32.70464924
240,0.0664523340345,0.0698601127621,0.0690905776174,0.823333333333,0.814166666667,0.8185,0.488077271355,0.458080194411,0.470588235294,34.070912573
250,0.0664352541272,0.0698729982137,0.0690877504826,0.823125,0.814583333333,0.8185,0.487473588892,0.458637469586,0.470072992701,35.391368107
