iterations,fitness,time,fevals
0,14.0,0.00071715,11
10,14.0,0.00145068,21
20,14.0,0.001765055,31
30,14.0,0.004539321,41
40,14.0,0.004991346,51
50,14.0,0.005379159,61
60,16.0,0.005668222,71
70,16.0,0.006218917,81
80,16.0,0.006556963,91
90,18.0,0.006729971,101
100,18.0,0.006845935,111
110,18.0,0.007051766,121
120,19.0,0.008224786,131
130,19.0,0.008292532,141
140,19.0,0.00837618,151
150,19.0,0.008500921,161
160,19.0,0.008820683,171
170,20.0,0.008891481,181
180,21.0,0.008967471,191
190,21.0,0.009122107,201
200,23.0,0.009457514,211
210,23.0,0.009636278,221
220,23.0,0.00971212,231
230,24.0,0.009826867,241
240,25.0,0.009964352,251
250,25.0,0.010140495,261
260,25.0,0.010286057,271
270,25.0,0.010444454,281
280,25.0,0.010504933,291
290,25.0,0.010567885,301
300,25.0,0.010685317,311
310,25.0,0.010745575,321
320,25.0,0.010807277,331
330,25.0,0.010890064,341
340,25.0,0.010971524,351
350,25.0,0.011031311,361
360,27.0,0.011131509,371
370,27.0,0.011188993,381
380,27.0,0.011284581,391
390,28.0,0.011389434,401
400,29.0,0.01146566,411
410,29.0,0.011622954,421
420,30.0,0.011687872,431
430,31.0,0.011747469,441
440,31.0,0.011842706,451
450,32.0,0.011933308,461
460,35.0,0.012022246,471
470,35.0,0.012064227,481
480,35.0,0.012147642,491
490,35.0,0.012195618,501
500,35.0,0.012225831,511
510,35.0,0.012292446,521
520,36.0,0.01232291,531
530,37.0,0.012351064,541
540,37.0,0.012381686,551
550,37.0,0.012413643,561
560,37.0,0.012448623,571
570,37.0,0.012485718,581
580,37.0,0.012517553,591
590,37.0,0.012545058,601
600,37.0,0.012573548,611
610,37.0,0.012611101,621
620,37.0,0.012640041,631
630,37.0,0.012669585,641
640,38.0,0.012699472,651
650,44.0,0.012729834,661
660,44.0,0.013102182,671
670,45.0,0.013193106,681
680,45.0,0.013351093,691
690,45.0,0.013475783,701
700,45.0,0.013655146,711
710,45.0,0.013741961,721
720,45.0,0.013833719,731
730,47.0,0.014025647,741
740,48.0,0.014160732,751
750,48.0,0.01439435,761
760,49.0,0.01459421,771
770,49.0,0.014850238,781
780,49.0,0.014948626,791
790,49.0,0.015027132,801
800,49.0,0.015292657,811
810,49.0,0.015437637,821
820,62.0,0.015687075,831
830,63.0,0.015829669,841
840,63.0,0.015910721,851
850,63.0,0.016071796,861
860,64.0,0.016172281,871
870,65.0,0.016465478,881
880,65.0,0.016574752,891
890,65.0,0.016829522,901
900,65.0,0.016904413,911
910,65.0,0.017043945,921
920,65.0,0.017219235,931
930,65.0,0.017416995,941
940,65.0,0.017480872,951
950,65.0,0.017800806,961
960,65.0,0.017960836,971
970,65.0,0.018037547,981
980,66.0,0.018152789,991
990,66.0,0.018179138,1001
1000,66.0,0.018205055,1011
1010,66.0,0.018236193,1021
1020,66.0,0.018266863,1031
1030,66.0,0.018366628,1041
1040,66.0,0.018395566,1051
1050,66.0,0.018422368,1061
1060,66.0,0.018459011,1071
1070,66.0,0.018490295,1081
1080,66.0,0.018518022,1091
1090,71.0,0.018546314,1101
1100,71.0,0.01857128,1111
1110,71.0,0.026212578,1121
1120,71.0,0.026231055,1131
1130,71.0,0.026245876,1141
1140,71.0,0.026263804,1151
1150,71.0,0.026281617,1161
1160,71.0,0.026297503,1171
1170,71.0,0.026316334,1181
1180,71.0,0.026333794,1191
1190,71.0,0.026351392,1201
1200,71.0,0.026369399,1211
1210,71.0,0.026385672,1221
1220,71.0,0.026401381,1231
1230,71.0,0.026418661,1241
1240,71.0,0.026436599,1251
1250,71.0,0.026452694,1261
1260,71.0,0.026491755,1271
1270,71.0,0.026508963,1281
1280,71.0,0.026524511,1291
1290,71.0,0.02654317,1301
1300,71.0,0.026560996,1311
1310,71.0,0.026580147,1321
1320,71.0,0.026600684,1331
1330,71.0,0.026620494,1341
1340,71.0,0.026638793,1351
1350,71.0,0.026657686,1361
1360,71.0,0.026677856,1371
1370,71.0,0.026697266,1381
1380,71.0,0.026716451,1391
1390,71.0,0.026736558,1401
1400,72.0,0.026756156,1411
1410,72.0,0.026774381,1421
1420,72.0,0.026794464,1431
1430,72.0,0.026814721,1441
1440,72.0,0.026834026,1451
1450,72.0,0.026852229,1461
1460,72.0,0.026871896,1471
1470,73.0,0.026890135,1481
1480,73.0,0.026905746,1491
1490,73.0,0.027057391,1501
1500,73.0,0.027076126,1511
1510,73.0,0.027092604,1521
1520,73.0,0.02710933,1531
1530,73.0,0.027125588,1541
1540,73.0,0.027145076,1551
1550,73.0,0.027163659,1561
1560,74.0,0.027186558,1571
1570,74.0,0.027208822,1581
1580,74.0,0.027227393,1591
1590,74.0,0.027246146,1601
1600,74.0,0.0272668,1611
1610,74.0,0.027286157,1621
1620,74.0,0.027307701,1631
1630,74.0,0.027327135,1641
1640,74.0,0.027347139,1651
1650,74.0,0.027366011,1661
1660,74.0,0.027387059,1671
1670,75.0,0.027406852,1681
1680,75.0,0.027423408,1691
1690,75.0,0.02744221,1701
1700,75.0,0.0274625,1711
1710,75.0,0.027484539,1721
1720,75.0,0.027501216,1731
1730,75.0,0.027521343,1741
1740,75.0,0.027548686,1751
1750,75.0,0.027566941,1761
1760,75.0,0.027584311,1771
1770,75.0,0.027606183,1781
1780,75.0,0.02762461,1791
1790,75.0,0.027644072,1801
1800,75.0,0.027662001,1811
1810,75.0,0.027681793,1821
1820,76.0,0.027700022,1831
1830,76.0,0.027720424,1841
1840,76.0,0.02773955,1851
1850,76.0,0.027756537,1861
1860,76.0,0.027773505,1871
1870,76.0,0.02779232,1881
1880,76.0,0.027811685,1891
1890,79.0,0.027831211,1901
1900,79.0,0.027848836,1911
1910,79.0,0.027866427,1921
1920,79.0,0.027886621,1931
1930,79.0,0.027904343,1941
1940,79.0,0.027926791,1951
1950,79.0,0.027945697,1961
1960,79.0,0.028291333,1971
1970,79.0,0.028313649,1981
1980,79.0,0.028334525,1991
1990,79.0,0.028354338,2001
2000,79.0,0.028376153,2011
2010,79.0,0.02839369,2021
2020,79.0,0.02841297,2031
2030,79.0,0.028432657,2041
2040,79.0,0.028451365,2051
2050,79.0,0.028478752,2061
2060,79.0,0.028499049,2071
2070,79.0,0.028516195,2081
2080,79.0,0.028533117,2091
2090,79.0,0.028551854,2101
2100,79.0,0.028572429,2111
2110,79.0,0.028592485,2121
2120,79.0,0.028611789,2131
2130,79.0,0.028631753,2141
2140,79.0,0.028654129,2151
2150,79.0,0.028675353,2161
2160,79.0,0.028692045,2171
2170,79.0,0.028712718,2181
2180,79.0,0.028733954,2191
2190,79.0,0.028755215,2201
2200,79.0,0.028775017,2211
2210,79.0,0.028790135,2221
2220,80.0,0.028808857,2231
2230,80.0,0.028827453,2241
2240,80.0,0.028847009,2251
2250,80.0,0.028864722,2261
2260,80.0,0.028885599,2271
2270,80.0,0.028905811,2281
2280,80.0,0.028925219,2291
2290,80.0,0.028943317,2301
2300,80.0,0.028963824,2311
2310,80.0,0.028986538,2321
2320,80.0,0.029008185,2331
2330,81.0,0.029031734,2341
2340,81.0,0.029054892,2351
2350,81.0,0.029082423,2361
2360,81.0,0.029105293,2371
2370,81.0,0.029126809,2381
