iterations,fitness,time,fevals
0,12.0,2.3632e-05,11
10,13.0,4.6761e-05,21
20,19.0,6.8955e-05,31
30,19.0,9.02770000001e-05,41
40,19.0,0.000115223,51
50,20.0,0.0001362,61
60,20.0,0.000156801,71
70,20.0,0.000177018,81
80,20.0,0.000197742,91
90,20.0,0.000218923,101
100,20.0,0.00023932,111
110,20.0,0.00026267,121
120,20.0,0.000283719,131
130,20.0,0.00031773,141
140,20.0,0.00034317,151
150,20.0,0.000398149,161
160,20.0,0.00042441,171
170,20.0,0.000447492,181
180,20.0,0.000469879,191
190,23.0,0.000493172,201
200,23.0,0.000516425,211
210,23.0,0.00053692,221
220,24.0,0.000561125,231
230,24.0,0.000581877,241
240,24.0,0.000602649,251
250,24.0,0.000622073,261
260,24.0,0.000644077,271
270,24.0,0.000663854,281
280,24.0,0.000687499,291
290,24.0,0.000707659,301
300,25.0,0.000737288,311
310,25.0,0.000766822,321
320,25.0,0.000788428,331
330,25.0,0.000811744,341
340,25.0,0.000832881,351
350,25.0,0.000853303,361
360,25.0,0.000877281,371
370,25.0,0.000900472,381
380,25.0,0.000964047,391
390,25.0,0.001019878,401
400,25.0,0.001045208,411
410,25.0,0.001070938,421
420,25.0,0.001095386,431
430,25.0,0.001121782,441
440,28.0,0.001146398,451
450,30.0,0.00118494,461
460,31.0,0.001215856,471
470,31.0,0.001240139,481
480,33.0,0.001265045,491
490,36.0,0.00129044,501
500,36.0,0.001311218,511
510,36.0,0.001332067,521
520,36.0,0.001360205,531
530,36.0,0.00138152,541
540,37.0,0.001405078,551
550,37.0,0.001426426,561
560,37.0,0.001449322,571
570,38.0,0.001470747,581
580,38.0,0.001490091,591
590,38.0,0.001511109,601
600,38.0,0.00153562,611
610,38.0,0.001556561,621
620,38.0,0.001578522,631
630,39.0,0.001599546,641
640,39.0,0.001619395,651
650,39.0,0.00168049,661
660,39.0,0.001703763,671
670,39.0,0.001724343,681
680,39.0,0.001745546,691
690,39.0,0.001766665,701
