iterations,fitness,time,fevals
0,22.0,0.205838225,1000
10,35.0,0.400917418,2100
20,43.0,0.569723414,3200
30,42.0,0.715439238,4300
40,46.0,0.877470425,5400
50,48.0,1.033362258,6500
60,49.0,1.200817304,7600
70,50.0,1.356052669,8700
80,51.0,1.487494153,9800
90,51.0,1.613179079,10900
100,51.0,1.748977569,12000
110,52.0,1.891294685,13100
120,52.0,2.037821346,14200
130,54.0,2.194336948,15300
140,53.0,2.347860315,16400
150,52.0,2.484447464,17500
160,53.0,2.634379518,18600
170,53.0,2.809104767,19700
180,53.0,2.938555201,20800
190,53.0,3.071867855,21900
200,59.0,3.220530582,23000
210,53.0,3.358615417,24100
220,53.0,3.488684895,25200
230,53.0,3.60055285,26300
240,53.0,3.729503719,27400
250,52.0,3.858230334,28500
260,55.0,3.990293873,29600
270,53.0,4.129850113,30700
280,54.0,4.261476997,31800
290,53.0,4.390370804,32900
300,52.0,4.507034306,34000
310,53.0,4.634041162,35100
320,53.0,4.770726251,36200
330,53.0,4.912882327,37300
340,53.0,5.046269899,38400
350,60.0,5.179259911,39500
360,53.0,5.334362629,40600
370,53.0,5.471293957,41700
380,53.0,5.627105453,42800
390,52.0,5.780748337,43900
400,53.0,5.906909872,45000
410,53.0,6.052972978,46100
420,53.0,6.208188822,47200
430,52.0,6.360580551,48300
440,67.0,6.518416015,49400
450,66.0,6.65428807,50500
460,66.0,6.788423631,51600
470,68.0,6.939157806,52700
480,68.0,7.127497186,53800
490,85.0,7.371606684,54900
500,84.0,7.554929841,56000
510,85.0,7.742614747,57100
520,84.0,7.890023146,58200
530,84.0,8.051144002,59300
540,67.0,8.199446897,60400
550,67.0,8.37113131,61500
560,64.0,8.566274718,62600
570,67.0,8.749678323,63700
580,66.0,8.925408916,64800
590,67.0,9.052562742,65900
600,67.0,9.215260386,67000
610,67.0,9.438786381,68100
620,65.0,9.595695887,69200
630,65.0,10.496274157,70300
640,67.0,10.687982275,71400
650,67.0,11.459239668,72500
660,67.0,11.662446388,73600
670,66.0,11.811330809,74700
680,67.0,12.002919871,75800
690,67.0,12.155659517,76900
700,66.0,12.323350071,78000
710,67.0,12.563563905,79100
720,67.0,12.712860824,80200
730,67.0,12.845623616,81300
740,67.0,12.996652026,82400
750,65.0,13.111133459,83500
760,83.0,13.254751923,84600
770,66.0,13.40755017,85700
780,63.0,13.556728439,86800
790,66.0,13.687262663,87900
800,66.0,13.849992989,89000
810,67.0,14.135691709,90100
820,67.0,14.286728871,91200
830,64.0,14.434740566,92300
840,67.0,14.582283239,93400
850,67.0,14.751284495,94500
860,65.0,14.902542388,95600
870,65.0,15.045929256,96700
880,67.0,15.197481113,97800
890,66.0,15.36219194,98900
900,67.0,15.505757684,100000
910,67.0,15.650866661,101100
920,69.0,15.813813989,102200
930,67.0,15.949555491,103300
940,69.0,16.125687027,104400
950,65.0,16.282974313,105500
960,67.0,16.425950138,106600
970,66.0,16.56181524,107700
980,65.0,16.722752794,108800
990,65.0,16.901958415,109900
1000,66.0,17.060994736,111000
1010,67.0,17.230700919,112100
1020,64.0,17.378691033,113200
1030,66.0,17.530011488,114300
1040,67.0,17.691097005,115400
1050,67.0,17.865341068,116500
1060,65.0,18.020302192,117600
1070,67.0,18.194877952,118700
1080,65.0,18.343753066,119800
1090,66.0,18.482832584,120900
1100,67.0,18.624095336,122000
1110,67.0,18.757687468,123100
1120,67.0,18.898597116,124200
1130,66.0,19.086128062,125300
1140,66.0,19.242209248,126400
1150,64.0,19.382187483,127500
1160,69.0,19.535715268,128600
1170,67.0,19.692335965,129700
1180,67.0,19.867138,130800
1190,67.0,20.016640168,131900
1200,65.0,20.169970072,133000
1210,67.0,20.320190989,134100
1220,66.0,20.470311935,135200
1230,67.0,20.610907919,136300
1240,67.0,20.781222672,137400
1250,67.0,20.918314756,138500
1260,65.0,21.063107402,139600
1270,67.0,21.230659136,140700
1280,65.0,21.399679841,141800
1290,66.0,21.537547038,142900
1300,67.0,21.689876183,144000
1310,67.0,21.83733848,145100
1320,67.0,21.982600078,146200
1330,67.0,22.130414011,147300
1340,67.0,22.303249061,148400
1350,64.0,22.47090963,149500
1360,67.0,22.60284304,150600
1370,66.0,22.760271335,151700
1380,67.0,22.906269094,152800
1390,67.0,23.060832336,153900
1400,65.0,23.202220445,155000
1410,68.0,23.323325518,156100
1420,66.0,23.461201431,157200
1430,71.0,23.606966916,158300
1440,67.0,23.738304708,159400
1450,65.0,23.891330504,160500
1460,66.0,24.05530881,161600
1470,67.0,24.187762123,162700
1480,66.0,24.318810525,163800
1490,73.0,24.457357827,164900
1500,67.0,24.600307938,166000
1510,64.0,24.733698423,167100
1520,65.0,24.871534995,168200
1530,65.0,25.006823974,169300
1540,66.0,25.138608416,170400
1550,67.0,25.279685744,171500
1560,65.0,25.411107103,172600
1570,67.0,25.535586616,173700
1580,66.0,25.699349066,174800
1590,65.0,25.859237889,175900
1600,67.0,25.99888901,177000
1610,67.0,26.104480583,178100
1620,65.0,26.231282406,179200
1630,67.0,26.363654599,180300
1640,65.0,26.483149634,181400
1650,67.0,26.606745409,182500
1660,65.0,26.813767205,183600
1670,73.0,26.945812698,184700
1680,65.0,27.110655639,185800
1690,77.0,27.236040118,186900
1700,73.0,27.384510616,188000
1710,84.0,27.524792014,189100
1720,84.0,27.65245508,190200
1730,84.0,27.798580117,191300
1740,84.0,27.925405371,192400
1750,77.0,28.07428858,193500
1760,71.0,28.21559003,194600
1770,76.0,28.36004491,195700
1780,71.0,28.510457579,196800
1790,77.0,28.658424327,197900
1800,77.0,28.79789595,199000
1810,72.0,28.937483297,200100
1820,77.0,29.059302124,201200
1830,77.0,29.194547771,202300
1840,77.0,29.323330332,203400
1850,77.0,29.463200845,204500
1860,73.0,29.606881337,205600
1870,77.0,29.738039202,206700
1880,77.0,29.885685694,207800
1890,77.0,30.015990538,208900
1900,73.0,30.136929334,210000
1910,75.0,30.260011357,211100
1920,73.0,30.418141026,212200
1930,75.0,30.54516633,213300
1940,73.0,30.71947119,214400
1950,77.0,30.861010609,215500
1960,77.0,31.024574633,216600
1970,77.0,31.156911694,217700
1980,68.0,31.280265604,218800
1990,72.0,31.422644877,219900
2000,72.0,31.573700897,221000
2010,77.0,31.726833096,222100
2020,73.0,31.881098563,223200
2030,77.0,32.04144713,224300
2040,84.0,32.214418533,225400
2050,73.0,32.336700535,226500
2060,72.0,32.472924228,227600
2070,77.0,32.638691217,228700
2080,69.0,32.782459669,229800
2090,74.0,32.896945833,230900
2100,84.0,33.044163904,232000
2110,84.0,33.195080022,233100
2120,78.0,33.344394478,234200
2130,78.0,33.484957756,235300
2140,75.0,33.608396801,236400
2150,84.0,33.743158345,237500
2160,84.0,33.878355457,238600
2170,73.0,34.015311317,239700
2180,75.0,34.159309306,240800
2190,83.0,34.368234904,241900
2200,83.0,34.507689128,243000
2210,84.0,34.675225787,244100
2220,85.0,34.821953145,245200
2230,84.0,34.971462072,246300
2240,84.0,35.13407714,247400
2250,84.0,35.28891926,248500
2260,84.0,35.453571908,249600
2270,74.0,35.6051376,250700
2280,84.0,35.75800285,251800
2290,72.0,35.883061029,252900
2300,72.0,36.047313781,254000
2310,72.0,36.192571005,255100
2320,84.0,36.357604731,256200
2330,76.0,36.508880279,257300
2340,76.0,36.635656264,258400
2350,75.0,36.777564157,259500
2360,72.0,36.90512493,260600
2370,79.0,37.034931317,261700
2380,84.0,37.181298777,262800
2390,71.0,37.317274842,263900
2400,84.0,37.443563899,265000
2410,79.0,37.600891031,266100
2420,75.0,37.784952016,267200
2430,84.0,37.912103907,268300
2440,71.0,38.070719787,269400
2450,78.0,38.232868902,270500
2460,84.0,38.368945758,271600
2470,84.0,38.514733959,272700
2480,84.0,38.643837507,273800
2490,85.0,38.786217056,274900
2500,84.0,38.917000942,276000
2510,84.0,39.044080525,277100
2520,84.0,39.179409723,278200
2530,85.0,39.282638225,279300
2540,84.0,39.414937574,280400
2550,84.0,39.543758494,281500
2560,84.0,39.674351581,282600
2570,84.0,39.833580444,283700
2580,85.0,39.971938535,284800
2590,84.0,40.099957161,285900
2600,86.0,40.239216613,287000
2610,85.0,40.377377562,288100
2620,85.0,40.523885506,289200
2630,84.0,40.689070085,290300
2640,84.0,40.833867649,291400
2650,84.0,40.975331022,292500
2660,84.0,41.106002934,293600
2670,84.0,41.254402881,294700
2680,85.0,41.397895894,295800
2690,84.0,41.570330547,296900
2700,84.0,41.70544857,298000
2710,84.0,41.834454526,299100
2720,84.0,42.011242161,300200
2730,84.0,42.177800207,301300
2740,84.0,42.348414378,302400
2750,85.0,42.483527885,303500
2760,84.0,42.628908482,304600
2770,84.0,42.747779281,305700
2780,85.0,42.888153202,306800
2790,84.0,43.047540456,307900
2800,84.0,43.185668584,309000
2810,85.0,43.325450565,310100
2820,84.0,43.45283216,311200
2830,84.0,43.581321149,312300
2840,84.0,43.720443198,313400
2850,84.0,43.84997125,314500
2860,84.0,43.968980616,315600
2870,84.0,44.113393276,316700
2880,84.0,44.241438696,317800
2890,84.0,44.390000533,318900
2900,85.0,44.566280024,320000
2910,84.0,44.710471541,321100
2920,84.0,44.834491491,322200
2930,84.0,44.957053409,323300
2940,84.0,45.084842441,324400
2950,85.0,45.206217362,325500
2960,84.0,45.36021742,326600
2970,84.0,45.496431448,327700
2980,84.0,45.618734613,328800
2990,85.0,45.744340686,329900
3000,85.0,45.865161825,331000
3010,84.0,46.014847415,332100
3020,84.0,46.129309128,333200
3030,84.0,46.260347904,334300
3040,84.0,46.405521757,335400
3050,84.0,46.525981678,336500
3060,85.0,46.647000454,337600
3070,84.0,46.766891538,338700
3080,84.0,46.910111847,339800
3090,84.0,47.064838434,340900
3100,84.0,47.203518926,342000
