iterations,fitness,time,fevals
0,12.0,1.5389e-05,11
10,12.0,2.94690000001e-05,21
20,12.0,4.24350000001e-05,31
30,15.0,5.31210000001e-05,41
40,14.0,6.47640000001e-05,51
50,16.0,7.59020000001e-05,61
60,12.0,9.25690000001e-05,71
70,13.0,0.000108886,81
80,14.0,0.000122641,91
90,15.0,0.000139051,101
100,14.0,0.000152482,111
110,17.0,0.000166325,121
120,11.0,0.000177988,131
130,12.0,0.000191112,141
140,16.0,0.000204034,151
150,17.0,0.000218461,161
160,16.0,0.000230419,171
170,15.0,0.000242745,181
180,15.0,0.000255934,191
190,16.0,0.000268773,201
200,14.0,0.000281044,211
210,16.0,0.000292683,221
220,14.0,0.000304321,231
230,16.0,0.000316747,241
240,17.0,0.000328429,251
250,18.0,0.000343716,261
260,16.0,0.000354968,271
270,15.0,0.000366445,281
280,13.0,0.00038354,291
290,11.0,0.000395725,301
300,11.0,0.00053729,311
310,13.0,0.000552074,321
320,13.0,0.000613572,331
330,12.0,0.000626856,341
340,15.0,0.000639878,351
350,13.0,0.000654387,361
360,13.0,0.000672604,371
370,11.0,0.000689356,381
380,11.0,0.000702113,391
390,14.0,0.000716767,401
400,16.0,0.000732166,411
410,16.0,0.000751627,421
420,16.0,0.000765903,431
430,15.0,0.000778982,441
440,14.0,0.000792125,451
450,15.0,0.00080421,461
460,15.0,0.000815371,471
470,15.0,0.000827283,481
480,16.0,0.000838752,491
490,17.0,0.000850347,501
500,18.0,0.000866045,511
510,20.0,0.000882937,521
520,20.0,0.000905128,531
530,20.0,0.000929827,541
540,20.0,0.000954118,551
550,21.0,0.00097733,561
560,22.0,0.0009974,571
570,22.0,0.001019827,581
580,22.0,0.001041407,591
590,22.0,0.001062932,601
600,22.0,0.001082443,611
610,22.0,0.001111483,621
620,22.0,0.001141861,631
630,22.0,0.001167921,641
640,22.0,0.001182586,651
650,23.0,0.001195713,661
660,23.0,0.0012119,671
670,23.0,0.001222167,681
680,23.0,0.001233684,691
690,23.0,0.001244029,701
700,23.0,0.00126643,711
710,23.0,0.001284089,721
720,23.0,0.001297861,731
730,23.0,0.001334173,741
740,23.0,0.001356628,751
750,23.0,0.001379644,761
760,23.0,0.001401716,771
770,23.0,0.001425271,781
780,25.0,0.001451709,791
790,25.0,0.00147507,801
800,26.0,0.00149797,811
810,26.0,0.001519222,821
820,27.0,0.001540022,831
830,28.0,0.001591612,841
840,28.0,0.001615455,851
850,28.0,0.001657411,861
860,28.0,0.001682231,871
870,28.0,0.001708638,881
880,28.0,0.001734338,891
890,28.0,0.001757744,901
900,28.0,0.001779598,911
910,29.0,0.001800298,921
920,29.0,0.001821797,931
930,30.0,0.00184163,941
940,30.0,0.001862695,951
950,30.0,0.001890868,961
960,30.0,0.001922369,971
970,30.0,0.001947816,981
980,30.0,0.001974853,991
990,30.0,0.001999147,1001
1000,30.0,0.002023706,1011
1010,31.0,0.002046668,1021
1020,33.0,0.002070764,1031
1030,33.0,0.002096411,1041
1040,33.0,0.002119493,1051
1050,33.0,0.00214228,1061
1060,33.0,0.002168457,1071
1070,33.0,0.002194473,1081
1080,34.0,0.002218633,1091
1090,34.0,0.002242201,1101
1100,34.0,0.002265191,1111
1110,34.0,0.00229032,1121
1120,34.0,0.002317127,1131
1130,34.0,0.002338952,1141
1140,34.0,0.002362061,1151
1150,34.0,0.00248612,1161
1160,34.0,0.002510423,1171
1170,35.0,0.002532465,1181
1180,35.0,0.002555091,1191
1190,35.0,0.002585689,1201
1200,35.0,0.002608349,1211
1210,35.0,0.002632507,1221
1220,35.0,0.002669794,1231
1230,36.0,0.002694448,1241
1240,36.0,0.002715418,1251
1250,36.0,0.002735384,1261
1260,36.0,0.002770975,1271
1270,36.0,0.002796537,1281
1280,36.0,0.002819803,1291
1290,36.0,0.002842492,1301
1300,36.0,0.002950381,1311
1310,36.0,0.002975395,1321
1320,36.0,0.002997613,1331
1330,36.0,0.003019929,1341
1340,36.0,0.003048458,1351
1350,36.0,0.00308719,1361
1360,36.0,0.003106822,1371
1370,36.0,0.003129156,1381
1380,36.0,0.003180252,1391
1390,36.0,0.003219865,1401
1400,36.0,0.003249073,1411
1410,36.0,0.00327052,1421
1420,36.0,0.003298619,1431
1430,37.0,0.003347802,1441
1440,37.0,0.003369417,1451
1450,37.0,0.003395235,1461
1460,37.0,0.003417708,1471
1470,37.0,0.003440945,1481
1480,37.0,0.0035155,1491
1490,37.0,0.003540367,1501
1500,37.0,0.003586764,1511
1510,37.0,0.003611205,1521
1520,37.0,0.00363193,1531
1530,37.0,0.003652679,1541
1540,37.0,0.003677526,1551
1550,37.0,0.003753884,1561
1560,37.0,0.003782948,1571
1570,37.0,0.003804724,1581
1580,37.0,0.003828516,1591
1590,37.0,0.003849914,1601
1600,37.0,0.00387399,1611
1610,37.0,0.00390395,1621
1620,38.0,0.003927118,1631
1630,38.0,0.00395919,1641
1640,38.0,0.00398396,1651
1650,38.0,0.004004537,1661
1660,38.0,0.004028563,1671
1670,38.0,0.004048144,1681
1680,38.0,0.00407003,1691
1690,39.0,0.004093918,1701
1700,39.0,0.004114338,1711
1710,39.0,0.004135179,1721
1720,39.0,0.004174197,1731
1730,39.0,0.004244988,1741
1740,39.0,0.00426544,1751
1750,39.0,0.004288835,1761
1760,39.0,0.004317697,1771
1770,39.0,0.004341342,1781
1780,39.0,0.004365113,1791
1790,39.0,0.004385056,1801
1800,39.0,0.004406275,1811
1810,39.0,0.004429977,1821
1820,39.0,0.004454344,1831
1830,39.0,0.004476407,1841
1840,39.0,0.004498022,1851
1850,39.0,0.004520597,1861
1860,39.0,0.004541789,1871
1870,39.0,0.00456814,1881
1880,39.0,0.004588779,1891
1890,39.0,0.00460957,1901
1900,39.0,0.004635484,1911
1910,39.0,0.004657616,1921
1920,39.0,0.004681083,1931
1930,39.0,0.004705798,1941
