iterations,fitness,time,fevals
0,564.0,25.282055024,1000
10,582.0,49.85860115,2100
20,604.0,74.169552459,3200
30,636.0,97.54980243,4300
40,654.0,121.293977009,5400
50,667.0,143.412089748,6500
60,680.0,165.185870997,7600
70,706.0,186.685174847,8700
80,718.0,207.849080959,9800
90,730.0,229.709118286,10900
100,750.0,250.212348966,12000
110,764.0,270.368190195,13100
120,754.0,291.344980711,14200
130,774.0,311.729355845,15300
140,776.0,331.540565801,16400
150,774.0,351.717478923,17500
160,784.0,375.337674704,18600
170,782.0,397.37152846,19700
180,788.0,417.426719623,20800
190,788.0,439.359499318,21900
200,775.0,459.302434118,23000
210,788.0,478.457578091,24100
220,782.0,497.997383978,25200
230,790.0,517.707170491,26300
240,794.0,537.137458344,27400
250,784.0,556.107551864,28500
260,786.0,575.009748326,29600
270,780.0,594.019232144,30700
280,794.0,613.247448458,31800
290,788.0,632.578907999,32900
300,792.0,652.206127345,34000
310,784.0,672.182217745,35100
320,790.0,691.979660986,36200
330,784.0,711.45178156,37300
340,784.0,731.217197335,38400
350,786.0,750.316827606,39500
360,788.0,770.043829783,40600
370,792.0,789.395468587,41700
380,794.0,809.204021787,42800
390,788.0,828.56817659,43900
400,798.0,847.605201909,45000
410,798.0,869.589351473,46100
420,792.0,892.124653248,47200
430,782.0,915.564672619,48300
440,790.0,935.285262078,49400
450,806.0,954.134901053,50500
460,796.0,973.868045914,51600
470,788.0,993.078425689,52700
480,800.0,1014.95681509,53800
490,818.0,1036.90258419,54900
500,804.0,1056.72367826,56000
510,798.0,1076.092957,57100
520,800.0,1095.33419075,58200
530,786.0,1115.98337962,59300
540,798.0,1135.6170982,60400
550,798.0,1155.56932529,61500
560,804.0,1174.7703389,62600
570,796.0,1197.51399067,63700
580,792.0,1222.17322216,64800
590,788.0,1242.93746261,65900
600,792.0,1262.44814436,67000
610,794.0,1282.12272123,68100
620,802.0,1301.6434734,69200
630,804.0,1321.32752793,70300
640,792.0,1340.4056842,71400
650,814.0,1359.48703999,72500
660,800.0,1379.09409891,73600
670,794.0,1398.53096775,74700
680,804.0,1418.20857947,75800
690,794.0,1437.12152974,76900
700,798.0,1456.69489977,78000
710,802.0,1476.23158652,79100
720,800.0,1495.62317655,80200
730,796.0,1514.53003227,81300
740,800.0,1534.10065701,82400
750,804.0,1553.43158757,83500
760,816.0,1572.45043322,84600
770,808.0,1591.65677177,85700
780,802.0,1614.59241523,86800
790,796.0,1634.26651254,87900
800,800.0,1656.82068408,89000
810,810.0,1681.2337223,90100
820,818.0,1700.49921965,91200
830,798.0,1719.85993008,92300
840,790.0,1739.71188318,93400
850,792.0,1758.74378679,94500
860,800.0,1777.86117735,95600
870,796.0,1797.21037944,96700
880,808.0,1821.50763777,97800
890,800.0,1843.18038533,98900
900,804.0,1862.98083535,100000
910,797.0,1882.2367228,101100
920,794.0,1901.88011061,102200
930,798.0,1924.76444145,103300
940,802.0,1946.74911893,104400
950,806.0,1965.81465847,105500
960,796.0,1984.94318308,106600
970,810.0,2005.25526089,107700
980,810.0,2025.26762981,108800
990,804.0,2045.36156578,109900
1000,806.0,2064.73852397,111000
1010,810.0,2084.66869572,112100
1020,788.0,2105.00932853,113200
1030,808.0,2124.65956929,114300
1040,808.0,2144.23501415,115400
1050,814.0,2163.61555851,116500
1060,810.0,2188.61976016,117600
1070,818.0,2212.00448975,118700
1080,814.0,2235.80869422,119800
1090,800.0,2259.06563979,120900
1100,816.0,2278.88554301,122000
1110,810.0,2297.89619102,123100
1120,806.0,2317.43699981,124200
1130,808.0,2336.90070455,125300
1140,812.0,2357.84493516,126400
1150,812.0,2377.11837674,127500
1160,806.0,2396.87340569,128600
1170,800.0,2416.10564763,129700
1180,812.0,2435.53484629,130800
1190,806.0,2455.19365282,131900
1200,814.0,2474.63404857,133000
1210,816.0,2493.81938928,134100
1220,800.0,2514.22353392,135200
1230,804.0,2533.79972402,136300
1240,804.0,2553.38480634,137400
1250,812.0,2573.27785135,138500
1260,802.0,2592.55183068,139600
1270,808.0,2615.29429918,140700
1280,812.0,2636.09690606,141800
1290,794.0,2655.91041188,142900
1300,802.0,2675.58277226,144000
1310,810.0,2695.55992481,145100
1320,798.0,2715.36057559,146200
1330,794.0,2735.79487601,147300
1340,812.0,2755.34591065,148400
