iterations,fitness,time,fevals
0,493.0,4.30509999999e-05,11
10,493.0,6.67919999999e-05,21
20,495.0,9.97949999999e-05,31
30,499.0,0.000123746,41
40,503.0,0.000151095,51
50,505.0,0.000173604,61
60,507.0,0.000196912,71
70,513.0,0.000221371,81
80,513.0,0.000242713,91
90,513.0,0.000268689,101
100,515.0,0.000308084,111
110,515.0,0.000329193,121
120,517.0,0.000351512,131
130,521.0,0.000373615,141
140,527.0,0.000417886,151
150,531.0,0.000458412,161
160,533.0,0.000482989,171
170,535.0,0.000506986,181
180,535.0,0.000530568,191
190,535.0,0.000561933,201
200,539.0,0.00058923,211
210,543.0,0.000627719,221
220,545.0,0.000659386,231
230,551.0,0.000685403,241
240,551.0,0.000716974,251
250,551.0,0.000740545,261
260,557.0,0.00077395,271
270,559.0,0.000797599,281
280,559.0,0.000826639,291
290,567.0,0.000850273,301
300,569.0,0.000873061,311
310,573.0,0.000901022,321
320,575.0,0.000923371,331
330,577.0,0.000950408,341
340,579.0,0.000974583,351
350,581.0,0.001008081,361
360,585.0,0.001032002,371
370,585.0,0.001067916,381
380,587.0,0.001096464,391
390,587.0,0.001118943,401
400,591.0,0.001154984,411
410,591.0,0.001191803,421
420,595.0,0.001249003,431
430,595.0,0.001288257,441
440,595.0,0.001315408,451
450,596.0,0.001537102,461
460,598.0,0.001568051,471
470,598.0,0.001592828,481
480,600.0,0.001616396,491
490,606.0,0.00164014,501
500,608.0,0.001664822,511
510,608.0,0.001686734,521
520,612.0,0.001708932,531
530,612.0,0.001733064,541
540,614.0,0.001763536,551
550,614.0,0.00178677,561
560,614.0,0.001816363,571
570,616.0,0.001851178,581
580,620.0,0.001874869,591
590,622.0,0.001897881,601
600,622.0,0.001922582,611
610,622.0,0.001947945,621
620,624.0,0.001971785,631
630,626.0,0.002023142,641
640,626.0,0.002055957,651
650,626.0,0.002089056,661
660,626.0,0.002121367,671
670,628.0,0.002156758,681
680,628.0,0.002209362,691
690,634.0,0.002233473,701
700,638.0,0.002261499,711
710,640.0,0.002295196,721
720,640.0,0.002330627,731
730,642.0,0.002375494,741
740,642.0,0.002403129,751
750,642.0,0.002434806,761
760,642.0,0.002463044,771
770,644.0,0.002491753,781
780,644.0,0.002520969,791
790,644.0,0.002572024,801
800,646.0,0.002605809,811
810,646.0,0.002644499,821
820,648.0,0.002681868,831
830,648.0,0.002720117,841
840,650.0,0.002743826,851
850,650.0,0.002767373,861
860,652.0,0.002793941,871
870,654.0,0.002817173,881
880,656.0,0.002845948,891
890,656.0,0.002878382,901
900,656.0,0.002902612,911
910,656.0,0.002926897,921
920,656.0,0.002954384,931
930,656.0,0.002978184,941
940,658.0,0.003003794,951
950,658.0,0.003029388,961
960,658.0,0.003053913,971
970,662.0,0.00309206,981
980,662.0,0.003123269,991
990,662.0,0.003161537,1001
1000,662.0,0.003199117,1011
1010,662.0,0.00322587,1021
1020,662.0,0.00325223,1031
1030,664.0,0.003279097,1041
1040,664.0,0.003318335,1051
1050,664.0,0.003357161,1061
1060,664.0,0.003392454,1071
1070,664.0,0.003429861,1081
1080,664.0,0.003467888,1091
1090,666.0,0.003493665,1101
1100,668.0,0.003519991,1111
1110,670.0,0.003550082,1121
1120,670.0,0.003582225,1131
1130,672.0,0.003613109,1141
1140,674.0,0.003642167,1151
1150,676.0,0.003666593,1161
1160,678.0,0.003692058,1171
1170,680.0,0.003716249,1181
1180,680.0,0.003740247,1191
1190,682.0,0.003768732,1201
1200,682.0,0.003791979,1211
1210,682.0,0.003815647,1221
1220,682.0,0.003840542,1231
1230,682.0,0.003867736,1241
1240,682.0,0.003894615,1251
1250,682.0,0.003922773,1261
1260,682.0,0.00395008,1271
1270,682.0,0.003977618,1281
1280,682.0,0.004008173,1291
1290,684.0,0.004035646,1301
1300,684.0,0.004066009,1311
1310,684.0,0.004096192,1321
1320,688.0,0.004129415,1331
1330,690.0,0.004162445,1341
1340,692.0,0.004194004,1351
1350,694.0,0.004224049,1361
1360,696.0,0.004261745,1371
1370,696.0,0.004290112,1381
1380,696.0,0.004318278,1391
1390,696.0,0.004348701,1401
1400,696.0,0.004384921,1411
1410,698.0,0.004413822,1421
1420,698.0,0.004447345,1431
1430,698.0,0.004474429,1441
1440,698.0,0.004500096,1451
1450,700.0,0.004526037,1461
1460,702.0,0.004551596,1471
1470,702.0,0.004581004,1481
1480,702.0,0.004606402,1491
1490,702.0,0.004632422,1501
1500,704.0,0.004664225,1511
1510,704.0,0.004691088,1521
1520,704.0,0.004714955,1531
1530,704.0,0.004740079,1541
1540,704.0,0.004764336,1551
1550,704.0,0.004796442,1561
1560,704.0,0.004820024,1571
1570,704.0,0.004843798,1581
1580,706.0,0.004868711,1591
1590,706.0,0.004892899,1601
1600,706.0,0.004922517,1611
1610,706.0,0.004945568,1621
1620,712.0,0.004968693,1631
1630,712.0,0.00499335,1641
1640,712.0,0.005019567,1651
1650,714.0,0.005044506,1661
1660,718.0,0.00507302,1671
1670,718.0,0.005100117,1681
1680,720.0,0.005124757,1691
1690,720.0,0.005160119,1701
1700,720.0,0.005184849,1711
1710,720.0,0.005211617,1721
1720,720.0,0.005250299,1731
1730,720.0,0.005275824,1741
1740,720.0,0.00530308,1751
1750,720.0,0.005329442,1761
1760,720.0,0.005360369,1771
1770,724.0,0.005400414,1781
1780,724.0,0.005426773,1791
1790,724.0,0.005458443,1801
1800,724.0,0.00549075,1811
1810,726.0,0.005533354,1821
1820,726.0,0.005560022,1831
1830,726.0,0.005587074,1841
1840,726.0,0.005611183,1851
1850,728.0,0.005641525,1861
1860,728.0,0.005667809,1871
1870,728.0,0.005694141,1881
1880,728.0,0.005719466,1891
1890,728.0,0.005744604,1901
1900,728.0,0.005780411,1911
1910,728.0,0.005808058,1921
1920,728.0,0.005833045,1931
1930,728.0,0.005860597,1941
1940,728.0,0.005894432,1951
1950,728.0,0.005923766,1961
1960,728.0,0.005952883,1971
1970,728.0,0.00598255,1981
1980,728.0,0.006012554,1991
1990,728.0,0.006042387,2001
2000,731.0,0.006124537,2011
2010,731.0,0.006181762,2021
2020,731.0,0.006260743,2031
2030,731.0,0.006347546,2041
2040,731.0,0.006546028,2051
2050,731.0,0.00658058,2061
2060,731.0,0.006613122,2071
2070,735.0,0.006649985,2081
2080,735.0,0.006678931,2091
2090,737.0,0.006721434,2101
2100,737.0,0.006748229,2111
2110,737.0,0.006776629,2121
2120,737.0,0.006805549,2131
2130,737.0,0.006830554,2141
2140,737.0,0.006856495,2151
2150,739.0,0.006883028,2161
2160,739.0,0.006910665,2171
2170,739.0,0.006941429,2181
2180,739.0,0.006969255,2191
2190,739.0,0.006995807,2201
2200,739.0,0.007027712,2211
2210,739.0,0.007053592,2221
2220,739.0,0.007080473,2231
2230,739.0,0.007109131,2241
2240,739.0,0.007142297,2251
2250,741.0,0.007171685,2261
2260,741.0,0.0071987,2271
2270,743.0,0.00722439,2281
2280,745.0,0.007249408,2291
2290,745.0,0.007324844,2301
2300,745.0,0.007487908,2311
2310,745.0,0.007519454,2321
2320,745.0,0.007551894,2331
2330,745.0,0.007587126,2341
2340,745.0,0.007690108,2351
2350,745.0,0.007743609,2361
2360,745.0,0.007780202,2371
2370,745.0,0.00808085,2381
2380,745.0,0.008123728,2391
2390,745.0,0.008175666,2401
2400,745.0,0.008413334,2411
2410,747.0,0.00844014,2421
2420,747.0,0.008477311,2431
2430,747.0,0.008508282,2441
2440,747.0,0.008537356,2451
2450,747.0,0.008571567,2461
2460,749.0,0.008606587,2471
2470,749.0,0.008640545,2481
2480,751.0,0.008677339,2491
2490,751.0,0.00878463,2501
2500,753.0,0.01057811,2511
2510,755.0,0.010613296,2521
2520,755.0,0.010647611,2531
2530,755.0,0.010678057,2541
2540,755.0,0.010708939,2551
2550,755.0,0.010743093,2561
2560,755.0,0.010782411,2571
2570,755.0,0.010828146,2581
2580,755.0,0.01086195,2591
2590,755.0,0.010898727,2601
2600,755.0,0.010926015,2611
2610,757.0,0.010955029,2621
2620,757.0,0.010981918,2631
2630,759.0,0.011008207,2641
2640,759.0,0.011039179,2651
2650,759.0,0.011065467,2661
2660,759.0,0.011090325,2671
2670,759.0,0.011116201,2681
2680,761.0,0.011144954,2691
2690,761.0,0.011184409,2701
2700,761.0,0.011211132,2711
2710,763.0,0.011245483,2721
2720,763.0,0.011285739,2731
2730,763.0,0.011318812,2741
2740,763.0,0.011353854,2751
2750,765.0,0.011389713,2761
2760,765.0,0.01142026,2771
2770,765.0,0.011457172,2781
2780,765.0,0.011489011,2791
2790,765.0,0.011523374,2801
2800,765.0,0.011551824,2811
2810,765.0,0.011614445,2821
2820,765.0,0.011641497,2831
2830,765.0,0.011885873,2841
2840,765.0,0.01191756,2851
2850,765.0,0.011958037,2861
2860,765.0,0.01198338,2871
2870,765.0,0.012019014,2881
2880,765.0,0.012090854,2891
2890,767.0,0.013637821,2901
2900,767.0,0.01367367,2911
2910,769.0,0.013709711,2921
2920,771.0,0.013743532,2931
2930,771.0,0.013776847,2941
2940,771.0,0.014048089,2951
2950,771.0,0.014082979,2961
2960,771.0,0.014111655,2971
2970,771.0,0.01413988,2981
2980,771.0,0.014743913,2991
2990,771.0,0.014771708,3001
3000,771.0,0.014813803,3011
