iterations,fitness,time,fevals
0,536.0,0.007588513,648
10,540.0,0.018990789,1191
20,554.0,0.028928855,1732
30,549.0,0.039626122,2279
40,569.0,0.049402445,2827
50,568.0,0.058045474,3377
60,563.0,0.068924941,3922
70,558.0,0.077305243,4467
80,564.0,0.082558112,5009
90,568.0,0.087375273,5564
100,561.0,0.095255195,6113
110,570.0,0.09984029,6661
120,570.0,0.117984369,7212
130,572.0,0.125646321,7761
140,570.0,0.13226572,8311
150,570.0,0.136856147,8861
160,574.0,0.141685996,9405
170,570.0,0.145854606,9944
180,574.0,0.150727922,10493
190,572.0,0.155537048,11045
200,576.0,0.165642386,11587
210,572.0,0.170739237,12138
220,572.0,0.176695854,12681
230,570.0,0.183069328,13229
240,566.0,0.188844972,13771
250,570.0,0.198864547,14324
260,570.0,0.203526073,14881
270,572.0,0.213938167,15428
280,566.0,0.220936691,15979
290,568.0,0.227122893,16531
300,568.0,0.232353551,17080
310,568.0,0.239170862,17635
320,570.0,0.245907282,18180
330,570.0,0.253017988,18718
340,574.0,0.264836681,19264
350,570.0,0.27535395,19817
360,570.0,0.28171633,20374
370,568.0,0.287969548,20925
380,568.0,0.297388552,21470
390,570.0,0.312030834,22018
400,568.0,0.31656744,22565
410,570.0,0.322501524,23108
420,570.0,0.327381568,23654
430,570.0,0.332011461,24203
440,572.0,0.337209324,24751
450,570.0,0.34228247,25289
460,568.0,0.358973724,25835
470,568.0,0.362648151,26378
480,570.0,0.367830685,26927
490,570.0,0.372056661,27475
500,570.0,0.37662269,28023
510,572.0,0.380774152,28570
520,572.0,0.387485943,29119
530,570.0,0.412051807,29671
540,576.0,0.416086279,30215
550,572.0,0.439964084,30759
560,570.0,0.443489011,31309
570,570.0,0.447017929,31861
580,570.0,0.45888943,32416
590,570.0,0.464331377,32965
600,570.0,0.473379212,33508
610,568.0,0.495298963,34054
620,570.0,0.50205324,34605
630,570.0,0.508407654,35161
640,572.0,0.518519881,35706
650,572.0,0.522177913,36253
660,572.0,0.530518434,36805
670,572.0,0.535007195,37355
680,572.0,0.539368174,37904
690,574.0,0.548997452,38454
700,572.0,0.55358134,39009
710,572.0,0.558080876,39552
720,572.0,0.561263711,40101
730,574.0,0.564630081,40654
740,574.0,0.567628322,41196
750,574.0,0.573380096,41739
760,574.0,0.576635049,42287
770,574.0,0.580491788,42831
780,574.0,0.605434539,43379
790,574.0,0.615684581,43927
800,574.0,0.629807447,44477
810,574.0,0.634054658,45029
820,574.0,0.641087037,45574
830,576.0,0.645353819,46121
840,574.0,0.6523736,46666
850,574.0,0.662042129,47218
860,572.0,0.668137662,47764
870,572.0,0.68121525,48318
880,574.0,0.687430257,48868
890,572.0,0.697216792,49415
900,574.0,0.702952212,49962
910,572.0,0.709406385,50515
920,574.0,0.714816879,51063
