iterations,fitness,time,fevals
0,554.0,25.212253767,1000
10,573.0,51.179324894,2100
20,606.0,75.550437957,3200
30,634.0,99.161678903,4300
40,650.0,122.040208331,5400
50,667.0,144.45538983,6500
60,678.0,167.551625237,7600
70,706.0,189.73778444,8700
80,710.0,211.366988909,9800
90,732.0,234.083413086,10900
100,734.0,258.526039701,12000
110,764.0,285.195792393,13100
120,756.0,305.614914575,14200
130,762.0,325.639471229,15300
140,782.0,346.227666879,16400
150,764.0,365.906088488,17500
160,776.0,388.825603424,18600
170,770.0,410.917333473,19700
180,790.0,430.602368518,20800
190,786.0,450.146005717,21900
200,772.0,469.256499147,23000
210,790.0,489.681440137,24100
220,786.0,509.075337858,25200
230,780.0,528.106348773,26300
240,776.0,547.820888437,27400
250,780.0,570.161649852,28500
260,776.0,594.202405856,29600
270,792.0,614.976397739,30700
280,780.0,634.229439274,31800
290,782.0,653.540753045,32900
300,804.0,673.251242225,34000
310,786.0,692.633099226,35100
320,800.0,711.974404849,36200
330,794.0,731.293408851,37300
340,793.0,750.686591572,38400
350,796.0,769.729205247,39500
360,794.0,788.628979915,40600
370,802.0,807.664272355,41700
380,792.0,826.905844068,42800
390,796.0,846.273822043,43900
400,800.0,866.074472883,45000
410,802.0,885.391946535,46100
420,802.0,904.559788077,47200
430,808.0,924.183555269,48300
440,784.0,943.64059974,49400
450,788.0,963.150694788,50500
460,794.0,985.635313107,51600
470,810.0,1005.81402198,52700
480,794.0,1026.70547005,53800
490,792.0,1050.93868891,54900
500,794.0,1070.86743253,56000
510,806.0,1089.86626004,57100
520,786.0,1110.09800759,58200
530,800.0,1128.89702181,59300
540,810.0,1148.05054822,60400
550,810.0,1167.71029179,61500
560,812.0,1190.66343019,62600
570,808.0,1212.70792769,63700
580,818.0,1232.03223994,64800
590,812.0,1251.59843722,65900
600,806.0,1270.62372757,67000
610,810.0,1292.51497832,68100
620,804.0,1315.50061134,69200
630,804.0,1334.74376584,70300
640,796.0,1353.67585554,71400
650,790.0,1373.42629088,72500
660,810.0,1393.4225427,73600
670,814.0,1412.77437082,74700
680,810.0,1432.15502859,75800
690,800.0,1452.19850302,76900
700,805.0,1472.07011564,78000
710,800.0,1491.64491946,79100
720,802.0,1510.92987552,80200
730,804.0,1530.10442923,81300
740,800.0,1551.70611164,82400
750,798.0,1576.79408722,83500
760,802.0,1598.90217044,84600
